,مصارفات روزانه دفتر  و تعمیرللندر 4,,,,,,,
"$53,048.2",$1.5,66.22,,AFN 100,خریداری تیل پطرول به تعیر للندر 4 ,17-Jan-26,202.9666667,
"$53,049.7",$1.5,66.22,,AFN 100,خریداری چکه به تعیر للندر 4 ,21-Jan-26,204.1166667,
"$53,080.3",$30.5,65.5,,"AFN 2,000",پرداخت معاش احمد فرید للندر بابت ماه جدی سال 1404,21-Jan-26,205.2609195,
"$53,169.9",$89.7,66.2,,"AFN 5,936",پرداخت برای خبازی سمیع الله بابت خریداری نان خشک به تعمیر للندر 4 بابت ماه جدی 1404,24-Jan-26,206.4103448,
"$53,316.0",$146.0,66.2,,"AFN 9,667",پرداخت هارون ولد فیض محمد بابت ماه جدی 1404,24-Jan-26,207.5597701,
"$53,467.0",$151.1,66.2,,"AFN 10,000",پرداخت برای شریف الله ولد فیض محمد بابت ماه جدی1404  مربوط للندر 4,24-Jan-26,208.7091954,
"$53,560.2",$93.2,66.2,,"AFN 6,167",پرداخت معاش هارون ولد فضل احمد بابت ماه جدی 1404,24-Jan-26,,
"$53,613.1",$52.9,66.2,,"AFN 3,500",پیش پرداخت هارون ولد فیض محمد بابت ماه دلو 1404,24-Jan-26,,
"$53,616.1",$3.0,66.22,,AFN 200,خریداری گاز به للندر 4,24-Jan-26,209.8586207,
"$53,721.8",$105.7,66.22,,"AFN 7,000",پرداخت زین الله ولد محمد ظاهر بابت ماه جدی 1404 ,25-Jan-26,211.008046,
"$53,767.1",$45.3,66.2,,"AFN 3,000",پیش پرداخت برای احمد فرید للندر بابت ماه جدی 1404,26-Jan-26,212.1574713,
"$53,869.9",$102.8,66.17,,"AFN 6,800",خریداری سیم جستی به للندر 4,26-Jan-26,213.3068966,
"$53,900.1",$30.2,66.17,,"AFN 2,000",خریداری تیل دیزل به للندر 4,26-Jan-26,214.4563218,
"$53,907.6",$7.5,66.3,,AFN 500,خریداری کارت موبایل به انجینیر صفی الله بابت تعمیر للندر 4,26-Jan-26,215.6057471,
"$53,911.6",$3.9,66.17,,AFN 260,خریداری نل بخاری گرد و نیمه به للندر 4,26-Jan-26,216.7551724,
"$53,953.9",$42.3,66.17,,"AFN 2,800","خریداری کچالو,پیاز , کرای راه تکسی و کراچی به للندر 4",26-Jan-26,217.9045977,
"$53,957.8",$3.9,66.17,,AFN 260,خریداری راشپیل به للندر 4,26-Jan-26,219.054023,
"$53,964.1",$6.3,66.17,,AFN 420,خریداری آب گرمی و تابه به للندر 4,26-Jan-26,220.2034483,
"$54,342.2",$378.0,66.13,,"AFN 25,000",پرداخت مهبودالله ولد محب الله بابت ماه جدی 1404,27-Jan-26,221.3528736,
"$54,720.2",$378.0,66.13,,"AFN 25,000",پرداخت مهبودالله ولد محب الله بابت ماه جدی 1404,27-Jan-26,222.5022989,
"$54,871.5",$151.2,66.13,,"AFN 10,000",پرداخت حنایت الله ولد امین الله بابت ماه جدی 1404,27-Jan-26,223.6517241,
"$55,627.5",$756.1,66.13,,"AFN 50,000",پرداخت سیف الله صدیقی ولد حبیب الله بابت ماه جدی 1404,27-Jan-26,224.8011494,
"$57,129.1","$1,501.6",66.13,,"AFN 99,300",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر4,27-Jan-26,225.9505747,
"$57,729.8",$600.6,66.13,,"AFN 39,720",پرداخت برای علی محمد بابت تخریب دیوار RCC افغان بیسیم تعمیر للندر 4,27-Jan-26,227.1,
"$57,911.2",$181.5,66.13,,"AFN 12,000",پرداخت برای سیف الله ولد رفیع الله بابت ماه جدی 1404,27-Jan-26,228.2494253,
"$58,092.7",$181.5,66.13,,"AFN 12,000",پرداخت برای هارون ولد فیض رحمان بابت ماه جدی 1404 مربوط للندر 4,27-Jan-26,229.3988506,
"$58,440.1",$347.4,66.2,,"AFN 23,000",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4,28-Jan-26,230.5482759,
"$58,562.7",$122.6,65.25,,"AFN 8,000",پرداخت محراج الدین ولد دادالله بابت جدی 1404,29-Jan-26,231.6977011,
"$58,577.9",$15.2,66,,"AFN 1,000",خریداری تیل پطرول برای موتری کرولای سفید موبوط للندر 4,29-Jan-26,232.8471264,
"$58,594.5",$16.7,66,,"AFN 1,100",خریداری گوشت مرغ و مساله بریانی به آشپز خانه کارته سه تعمیر للندر4,29-Jan-26,233.9965517,
"$58,695.6",$101.0,66,,"AFN 6,667",پرداخت ایزدالله ولد عبدلله بابت ماه جدی 1404,29-Jan-26,235.145977,
"$58,710.8",$15.3,65.4,,"AFN 1,000",پیش پرداخت برای هارون ولد فیض محمد بابت ماه دلو 1404,29-Jan-26,236.2954023,
"$58,739.1",$28.3,65.4,,"AFN 1,850",پرداخت برای حاچی شریف بابت خریداری سیم جستی توسط پسرش فردوس  به تعمیر للندر 4,29-Jan-26,237.4448276,
"$58,769.7",$30.6,65.4,,"AFN 2,000",پیش پرداخت برای شریف ولد فیض محمد بابت ماه دلو 1404,29-Jan-26,238.5942529,
"$59,349.3",$579.5,66.5,,"AFN 38,540","خریداری پانیت اسکیجول 42-80 کیلویی, زانو خم 90 درجه و سه دهن 90 درجه اسکیجول 80 به هواکش های تهکوی تعمیر للندر 4",31-Jan-26,239.7436782,
"$59,619.9",$270.7,66.5,,"AFN 18,000",خریداری کمپل به کاریگران تعمیر للندر 4,31-Jan-26,240.8931034,
"$59,629.0",$9.0,66.5,,AFN 600,خریداری گاز مایح به دفتر,31-Jan-26,242.0425287,
"$59,779.3",$150.4,66.5,,"AFN 10,000",پیش  پرداخت برای احمد فرید للندر سایت سوپروایزر تعمیر للندر 4 بابت ماه دلو 1404,31-Jan-26,243.191954,
"$59,783.8",$4.5,66.5,,AFN 300,خریداری کارت موبایل به احمد فرید للندر,31-Jan-26,244.3413793,
"$67,783.8","$8,000.0",66.5,"$8,000.00",AFN 0,پرداخت و تصفیه حساب شرکت کانکریت ریزی افغان پلانت بابت کانکریت ریزی پایل های اساسی تعمیر للندر 4  و پرداخت برای شرکت کانکریت ریزی بابت قسط اخیر 50% کانکریت ریخته شده فوندیشن تعمیر للندر 4,31-Jan-26,245.4908046,
"$68,783.8","$1,000.0",66.5,,"AFN 66,500",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4,31-Jan-26,246.6402299,
"$68,799.1",$15.3,65.5,,"AFN 1,000",پیش  پرداخت برای هارون ولد فیض محمد کاریگر تعمیر للندر 4 بابت ماه دلو 1404,31-Jan-26,247.7896552,
"$68,805.6",$6.5,66.5,,AFN 430,"خریداری رومی, پیاز, بادنجان سیاه و روغن مایح به دفتر",31-Jan-26,248.9390805,
"$68,811.7",$6.1,65.25,,AFN 400,خریداری ذغال داینمو به للندر 4,31-Jan-26,250.0885057,
"$70,161.7","$1,350.0",65.4,"$1,350.00",AFN 0,خریداری  یک سیت مبایل S25 ULTRA که توسط حاجی رفیح الله برای ریس صدور مجوز در سال 2025 بابت امر اعمار تعمیر للندر 4 خریداری گردیده بود شامل راپور مصرف تاریخ هذا گردیده است. ,31-Jan-26,251.237931,
"$70,237.7",$76.0,65.8,,"AFN 5,000",پیش پرداخت برای احمد فرید للندر بابت ماه دلو 1404,31-Jan-26,252.3873563,
"$70,241.5",$3.8,65.25,,AFN 250,خریداری گاز و دو وقت نان روز جمعه چوکی دار در دفتر ساحوی للندر 4   ,1-Feb-26,253.5367816,
"$70,255.9",$14.4,65.25,,AFN 940,خریداری گروپ دستی و رجه کلان به للندر 4,1-Feb-26,254.6862069,
"$70,263.6",$7.6,65.4,,AFN 500,پیش پرداخت برای زین الله ولد محمد ظاهر بابت ماه جدی 1404,2-Feb-26,255.8356322,
"$70,294.2",$30.6,65.4,,"AFN 2,000",پیش پرداخت برای شریف الله ولد فیض محمد بابت ماه جدی 1404 تعمیر للندر 4,2-Feb-26,256.9850575,
"$70,370.6",$76.5,65.4,,"AFN 5,000",پیش پرداخت برای انجنیر صفی الله بابت ماه دلو 1404,2-Feb-26,258.1344828,
"$70,374.3",$3.7,65.39,,AFN 240,خریداری گاز به للندر 4,2-Feb-26,259.283908,
"$70,389.6",$15.3,65.39,,"AFN 1,000",خریداری تیل دیزل برای جنراتور به للندر 4,2-Feb-26,260.4333333,
"$70,435.3",$45.7,65.6,,"AFN 3,000",پیش پرداخت برای هارون ولد فیض محمد  کاریگر تعمیر للندر 4 بابت ماه دلو 1404,3-Feb-26,261.5827586,
"$70,740.2",$304.9,65.6,,"AFN 20,000",پرداخت برای اجرت ساعتوار اسکوار آدم خان بابت خورد کردن دیوار تخریب شده RCC افغان بیسیم به توده های خود و کشیدن سیخ های گول و پاک کاری ساحه بخاطری کانکریت,3-Feb-26,262.7321839,
"$71,735.6",$995.4,65.6,,"AFN 65,300",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4 بدست قیام الدین برادرش,3-Feb-26,263.8816092,
"$79,735.6","$8,000.0",65.6,"$8,000.00",,پرداخت برای شرکت کانکریت افغان پلانت بابت کانکریت ریزی  به تعمیر للندر 4,3-Feb-26,265.0310345,
"$79,779.7",$44.0,64.7,,"AFN 2,850",خریداری تیل پطرول به کرولای نقره یی للندر 4,4-Feb-26,266.1804598,
"$79,784.3",$4.6,64.7,,AFN 300,خریداری تیل پطرول به للندر 4,4-Feb-26,267.3298851,
"$79,792.0",$7.7,64.7,,AFN 500,خریداری تیل پطرول برای ویبراتور ها به للندر 4,4-Feb-26,268.4793103,
"$79,822.9",$30.9,64.7,,"AFN 2,000",خریداری تیل دیزل برای جنراتور به للندر 4,4-Feb-26,269.6287356,
"$79,954.5",$131.6,66.5,,"AFN 8,750",پرداخت برای نورالدین بابت قالیکاری رینگ پایل های تحکیماتی تعمیر للندر 4,4-Feb-26,270.7781609,
"$80,338.0",$383.4,65.2,,"AFN 25,000",پرداخت برای محمد علی بابت تخریب دیوار RCC افغان بیستسم بابت للندر 4,4-Feb-26,271.9275862,
"$80,644.7",$306.7,65.2,,"AFN 20,000",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4 بدست قیام الدین برادرش,4-Feb-26,273.0770115,
"$80,652.4",$7.7,65.2,,AFN 500,پرداخت برای احمد فرید للندر بابت خریداری کارت مبایل بابت تعمیر للندر 4,4-Feb-26,274.2264368,
"$80,805.7",$153.4,65.2,,"AFN 10,000",پیش پرداخت برای معراج الدین بابت ماه دلو 1404,4-Feb-26,275.3758621,
"$80,828.8",$23.0,65.2,,"AFN 1,500",پرداخت اجرت روز مزد دو نفر گلکار بابت کانکریت ریزی چت منزل سوم تعمیر للندر 4,4-Feb-26,276.5252874,
"$80,840.3",$11.6,64.7,,AFN 750,"خریداری کشپل ویبراتور, اندل پایه جنراتور و سویچ به للندر 4",4-Feb-26,277.6747126,
"$80,841.0",$0.6,64.7,,AFN 40,خریداری راد کشپعل به للندر 4,4-Feb-26,278.8241379,
"$80,945.8",$104.9,64.85,,"AFN 6,800",خریداری سیم جستی به للندر 4,5-Feb-26,279.9735632,
"$80,953.2",$7.4,64.85,,AFN 480,خریداری دستکش و عینک به للندر 4,5-Feb-26,281.1229885,
"$90,953.2","$10,000.0",65.8,"$10,000.00",,پرداخت برای شرکت کانریت ریزی افغان پلانت بابت کاریت ریزی تعمیر للندر 4 توسط جاوید سکندری پرداخت صورت گرفته است,5-Feb-26,282.2724138,
"$90,968.6",$15.3,65.2,,"AFN 1,000",پیش پرداخت برای احمد فرید للندر بابت ماه دلو 1404,5-Feb-26,283.4218391,
"$90,988.6",$20.0,64.85,,"AFN 1,300",خریداری گوشت مرغ و مصاله بریانی به للندر 4,5-Feb-26,284.5712644,
"$91,004.0",$15.4,64.8,,"AFN 1,000",پیش پرداخت برای عبدالمتین ولد نیک محمد کاریگر تعمیر للندر 4 بابت ماه دلو 1404,8-Feb-26,285.7206897,
"$91,034.9",$30.9,64.8,,"AFN 2,000",خریداری جوس و غذا از رستورانت برای انجنیران ناحیه سوم بابت تعمیر للندر 4 توسط انجنیر صفی الله,8-Feb-26,286.8701149,
"$91,059.9",$25.0,64.85,,"AFN 1,620",خریداری گاز به آماده کردن غذا آشپز خانه کارته سه تعمیر للندر 4,8-Feb-26,288.0195402,
"$91,071.6",$11.7,64.85,,AFN 760,"خریداری مواد خوراکی از قبیل رومی, دولمه, ماست,زنجفیل, سیر و قیماق به تعمیر للندر 4",8-Feb-26,289.1689655,
"$91,117.9",$46.3,64.85,,"AFN 3,000",خریداری مواد ضد نم به تعمیر للندر 4,9-Feb-26,290.3183908,
"$91,225.8",$107.9,64.85,,"AFN 7,000",پیش پرداخت برای فرید للندر بابت ماه دلو 1404,9-Feb-26,291.4678161,
"$91,256.6",$30.8,64.85,,"AFN 2,000",پیش پرداخت برای شریف الله ولد فیض محمد بابت ماه حوت 1404,9-Feb-26,,
"$91,272.1",$15.4,64.85,,"AFN 1,000",خریداری گوشت به نان کاریگران تعمیر للندر 4,10-Feb-26,292.6172414,
"$91,277.5",$5.4,64.85,,AFN 350,خریداری تیل پطرول برای وبراتور به تعمیر للندر 4,10-Feb-26,293.7666667,
"$91,308.3",$30.8,64.85,,"AFN 2,000",خریداری تیل دیزل به جنراتور للندر 4,10-Feb-26,,
"$91,318.8",$10.5,64.85,,AFN 680,خریداری گوشت بابت نان کاریگران للندر 4,11-Feb-26,294.916092,
"$91,334.2",$15.4,64.85,,"AFN 1,000",خریداری تیل دیزل به جنراتور للندر 4,11-Feb-26,296.0655172,
"$91,569.3",$235.1,63.8,,"AFN 15,000",مجموع  نصب خوازه طرف شرکت افغان بیسیم بخاطری سولر بابت تعمیر للندر 4                            پرداخت فعلی برای نصیر احمد بابت نصب خوازه طرف شرکت افغان بیسیم,12-Feb-26,298.3643678,
"$171,569.3","$80,000.0",63.8,"$80,000.00",,پرداخت برای نادر دولت زی بابت خریداری سیخ گول به تعمیر للندر 4 توسط صرافی سرای شهزاهد ( خانی گل خیشکی وال),12-Feb-26,299.5137931,
"$201,569.3","$30,000.0",63.8,"$30,000.00",,پرداخت برای شرکت کانکریت ریزی افغان پلانت بابت کانکریت ریزی تعمیر للندر 4 توسط صرافی (خانی گل خیشکیوال ) سرای شهزاده منزل دوم دوکان نمبر 142),12-Feb-26,300.6632184,
"$202,569.3","$1,000.0",63.8,,"AFN 63,800",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4,12-Feb-26,301.8126437,
"$202,589.3",$19.9,65.2,,"AFN 1,300",خریداری گوشت مرغ و مصاله بریانی به تعیر للندر 4 ,12-Feb-26,302.962069,
"$202,636.3",$47.0,63.8,,"AFN 3,000",پیش پرداخت برای احمد فرید للندر بابت ماه  دلو 1404 به تعمیر للندر 4,14-Feb-26,304.1114943,
"$202,667.6",$31.3,63.8,,"AFN 2,000",خریداری تیل دیزل برای جنراتور تعیر للندر 4 ,14-Feb-26,305.2609195,
"$202,671.1",$3.4,63.9,,AFN 220,خریداری گاز به تعیر للندر 4 ,15-Feb-26,306.4103448,
"$202,674.0",$3.0,63.9,,AFN 190,خریداری پیچکش به تعیر للندر 4 ,15-Feb-26,307.5597701,
"$202,716.3",$42.3,63.9,,"AFN 2,700",خریداری تیل پطرول برای موتری نقریی به تعیر للندر 4 ,15-Feb-26,308.7091954,
"$202,731.9",$15.6,63.9,,"AFN 1,000",خریداری تیل دیزل برای جنراتور تعیر للندر 4 ,15-Feb-26,309.8586207,
"$202,758.6",$26.6,63.9,,"AFN 1,700",خریداری سیم جستی به تعیر للندر 4 ,15-Feb-26,311.008046,
"$202,768.7",$10.2,63.9,,AFN 650,خریداری دستکش و دبل به تعیر للندر 4 ,15-Feb-26,312.1574713,
"$202,778.9",$10.2,63.9,,AFN 650,خریداری دستکش  به تعیر للندر 4 ,15-Feb-26,313.3068966,
"$202,794.5",$15.6,63.9,,"AFN 1,000",خریداری مبلایل جنراتور  تعیر للندر 4 ,15-Feb-26,314.4563218,
"$202,813.3",$18.8,63.9,,"AFN 1,200",خریداری مبلایل جنراتور  تعیر للندر 4 ,15-Feb-26,315.6057471,
"$202,835.2",$21.9,63.9,,"AFN 1,400","خریداری سیم پیچ کوایل, پوش برمه و تیدیل سویچ برمه 10 میلی به تعمیر للندر 4  ",15-Feb-26,316.7551724,
"$202,971.4",$136.2,63.9,,"AFN 8,700",خریداری سیم چستی و پیپ لیول به تعمیر للندر 4,15-Feb-26,317.9045977,
"$202,979.2",$7.8,63.9,,AFN 500,خریداری جوس به تعمیر للندر 4,15-Feb-26,319.054023,
"$203,002.4",$23.2,63.9,,"AFN 1,480","خریداری پشتم, گازکیت, فیس, سرش و غیره به تعمیر للندر 4 به جنراتور",15-Feb-26,320.2034483,
"$203,262.9",$260.5,62.61,,"AFN 16,312",پرداخت بل برق دفتر للندر 4,16-Feb-26,321.3528736,
"$203,266.1",$3.2,62.61,,AFN 200,خریداری مبلایل به جنراتور تعمیر للندر 4,16-Feb-26,322.5022989,
"$203,280.5",$14.4,62.61,,AFN 900,خریداری گوشت به دفتر تعمیر للندر 4,16-Feb-26,323.6517241,
"$203,360.3",$79.9,62.61,,"AFN 5,000",پیش  پرداخت برای شریف الله ولد فیض محمد بابت ماه دلو 1404,16-Feb-26,324.8011494,
"$203,395.5",$35.1,62.61,,"AFN 2,200",پرداخت فیس انترنت دفتر از تاریخ 16 فیبروری الی 16 مارچ 2026,17-Feb-26,325.9505747,
"$203,427.2",$31.7,63.1,,"AFN 2,000",پیش  پرداخت برای هارون ولد فیض محمد بابت ماه دلو  1404,17-Feb-26,327.1,
"$203,443.0",$15.8,63.15,,"AFN 1,000",پیش  پرداخت برای زین الله ولد محمد ظاهر کاریگر  بابت ماه دلو  1404,17-Feb-26,328.2494253,
"$204,861.0","$1,418.0",63.15,"$1,418.00",AFN 0,پرداخت برای شرکت تولیدی فراز آژمان بابت خریداری کاک سقفی به تعمیر للندر 4,17-Feb-26,329.3988506,
"$205,098.5",$237.5,63.15,,"AFN 15,000",پرداخت برای محمد علی بابت تخریب دیوار RCC افغان تعمیر للندر 4,17-Feb-26,330.5482759,
"$206,097.7",$999.2,63.15,,"AFN 63,100",پرداخت برای گلبدین بابت سیم تاپی تعمیر للندر 4,17-Feb-26,331.6977011,
"$207,329.7","$1,232.0",63,"$1,232.00",,پرداخت برای شرکت افغان پلانت  بابت پول باقیمانده خریداری 640 خریطه سمنت ایرانی به شرکت  افغان پلانت از درک تعمیر للندر 4,18-Feb-26,331.6977011,
"$207,456.7",$127.0,63,,"AFN 8,000","پرداخت برای محمد نور خوازه کر از مجموع اجرت نصب خوازه تهکوی طرف رمپ , بغل شیر وال های طرف هوتل , بغل شیر  وال های داخلی و بیرونی افغان بیسیم و سمت عقب تعمیر للندر 4 ( 75 % آن پرداخت گردید)",19-Feb-26,332.8471264,
"$207,488.5",$31.7,63,,"AFN 2,000",پیش پرداخت برای احمد فرید للندر بابت ماه حوت 1404 توسط انجنیر صفی الله,19-Feb-26,333.9965517,
"$207,520.2",$31.7,63,,"AFN 2,000",پرداخت اجرت دو نفر گلکار بابت کانکریت ریزی چت منزل دوم سکشن B تعمیر للندر 4 فی نفر  از قرار  یک هزار افغانی توسط انجنیر صفی الله,19-Feb-26,335.145977,
"$207,528.1",$7.9,63.07,,AFN 500,پرداخت برای مصارفات کاریگران کانکریت ریزی چت منزل دوم تعمیر للندر 4 بابت چای صبح,19-Feb-26,336.2954023,
"$207,550.3",$22.2,63.07,,"AFN 1,400",خریداری پرزه جات به جنراتور للندر 4,21-Feb-26,,
"$207,551.9",$1.6,63.07,,AFN 100,پرداخت پرزه برای چرخ به تعمیر للندر 4,21-Feb-26,,
"$207,654.6",$102.7,63.3,,"AFN 6,500",پیش پرداخت برای هارون ولد فضل الرحمن بابت ماه دلو 1404,22-Feb-26,337.4448276,
"$207,670.4",$15.8,63.3,,"AFN 1,000",پیش پرداخت برای شریف الله ولد فیض محمد بابت ماه حوت 1404,22-Feb-26,,
"$207,675.2",$4.8,63,,AFN 300,خریداری کارت مبایل برای احمد فرید للندر,23-Feb-26,338.5942529,
"$207,691.0",$15.9,63,,"AFN 1,000",پیش پرداخت برای احمد فرید للندر بابت ماه حوت 1404 تعمیر للندر 4,23-Feb-26,339.7436782,
"$207,722.6",$31.5,63.4,,"AFN 2,000",پرداخت برای قربان کرن کار بابت انتقال جنراتور از گدام کارته سه به تعمیر للندر 4,23-Feb-26,340.8931034,
"$207,746.4",$23.8,63,,"AFN 1,500",خریداری تیل دیزل به جنراتور للندر 4,23-Feb-26,342.0425287,
"$207,754.3",$7.9,63,,AFN 500,خریداری تیل پطرول بابت ویبراتور های تعمیر للندر 4,23-Feb-26,343.191954,
"$207,780.2",$25.9,63,,"AFN 1,630",خریداری 210 بوجی به قیمت 8 افغانی فی دانه به للندر 4,23-Feb-26,344.3413793,
"$207,808.5",$28.3,63.6,,"AFN 1,800",پرداخت برای تداوی شریف الله ولد فیض محمد کاریگر تعمیر للندر 4,24-Feb-26,345.4908046,
"$208,123.0",$314.5,63.6,,"AFN 20,000",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4,24-Feb-26,346.6402299,
"$208,130.1",$7.1,63.53,,AFN 450,"خریداری اندل روبین, پیپ تیل, پلک و غیره  به للندر 4",25-Feb-26,347.7896552,
"$208,142.0",$12.0,63.53,,AFN 760,خریداری پرزه جات به ترمیم جنراتور للندر 4 ,25-Feb-26,348.9390805,
"$208,173.5",$31.5,63.53,,"AFN 2,000",خریداری تیل پطرول به موتر کرولای نقره یی مربوط للندر 4 ,25-Feb-26,350.0885057,
"$208,178.5",$5.0,63.53,,AFN 320,خریداری تیل پطرول به ویبراتور  های للندر 4 ,25-Feb-26,351.237931,
"$208,217.8",$39.3,63.6,,"AFN 2,500",پرداخت برای ترمیم جک کمر تعمیر للندر 4,25-Feb-26,352.3873563,
"$209,797.6","$1,579.8",63.3,,"AFN 100,000",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4,25-Feb-26,353.5367816,
"$209,884.5",$86.9,63.3,,"AFN 5,500",پرداخت معاش هارون ولد فضل الرحمان بابت ماه دلو سال 1404,25-Feb-26,354.6862069,
"$210,042.5",$158.0,63.3,,"AFN 10,000",پرداخت معاش عنایت الله ولد امان الله بابت ماه دلو سال 1404,25-Feb-26,355.8356322,
"$210,200.5",$158.0,63.3,,"AFN 10,000",پرداخت معاش عبدالبصیر  ولد رضا بابت ماه دلو سال 1404,25-Feb-26,356.9850575,
"$210,213.1",$12.6,63.3,,AFN 800,پرداخت معاش علی احمد  ولد محمد باقر بابت ماه دلو سال 1404,25-Feb-26,358.1344828,
"$210,339.5",$126.4,63.3,,"AFN 8,000",پرداخت معاش عبدالمتین  ولد نیک محمد بابت ماه دلو سال 1404,25-Feb-26,359.283908,
"$210,363.2",$23.7,63.3,,"AFN 1,500",پرداخت معاش هارون ول فضل محمد بابت ماه دلو سال 1404,25-Feb-26,360.4333333,
"$210,369.5",$6.3,63.3,,AFN 400,خریداری بوری به تعمیر للندر 4,25-Feb-26,361.5827586,
"$210,457.6",$88.1,63.3,,"AFN 5,576",پرداخت برای خبازی سمیح الله بابت خریداری نان خشک به تعمیر للندر 4 بابت ماه دلو 1404,25-Feb-26,362.7321839,
"$210,489.2",$31.6,63.3,,"AFN 2,000",پرداخت برای قربان کرن کار بابت انتقال کانتینر از تعمیر للندر 5 به تعمیر للندر 4,25-Feb-26,363.8816092,
"$210,505.0",$15.8,63.3,,"AFN 1,000",پرداخت برای شریف الله ولد فیض محمد بابت ماه دلو 1404,26-Feb-26,365.0310345,
"$210,647.2",$142.2,63.3,,"AFN 9,000",پرداخت ماش زین الله ولد محمد زاهر بابت ماه دلو 1404,26-Feb-26,366.1804598,
"$210,713.5",$66.4,63.3,,"AFN 4,200",خریداری پمپ ویبراتور به تعمیر للندر 4,26-Feb-26,367.3298851,
"$210,729.3",$15.8,63.3,,"AFN 1,000",خردیداری تیل پطرول برای موتری نقریی به تعمیر للندر 4,26-Feb-26,368.4793103,
"$210,918.9",$189.6,63.3,,"AFN 12,000",پرداخت ماش صفی الله ولد رفیع الله بابت ماه دلو 1404,26-Feb-26,369.6287356,
"$210,934.7",$15.8,63.3,,"AFN 1,000",خریداری تیل دیزل برای جنراتور به تعمیر للندر 4,26-Feb-26,370.7781609,
"$211,645.6",$710.9,63.3,,"AFN 45,000",پرداخت ماش صفی الله صدیقی ولد حبیب الله بابت ماه دلو 1404,26-Feb-26,371.9275862,
"$211,803.6",$158.0,63.3,,"AFN 10,000",پرداخت ماش معراج الدین ولد داد الله بابت ماه دلو 1404 ,26-Feb-26,373.0770115,
"$211,835.2",$31.6,63.21,,"AFN 2,000",پرداخت اجرت دو نفر  گلکار بابت کانکریت ریزی چت منزل سوم سکشن B تعمیر للندر 4 ,1-Mar-26,367.3298851,
"$211,841.5",$6.3,63.21,,AFN 400,خریداری مبلایل برای ویبراتور به تعمیر للندر 4,1-Mar-26,368.4793103,
"$211,860.8",$19.3,63.21,,"AFN 1,220",خریداری مبلایل و یک دانه تارکش فال برای جنراتور به تعمیر للندر 4,1-Mar-26,369.6287356,
"$211,865.6",$4.7,63.21,,AFN 300,خریداری تیل پطرول برای ویبراتور های للندر 4,1-Mar-26,370.7781609,
"$211,866.7",$1.1,63.21,,AFN 70,خریداری نمک به للندر 4,1-Mar-26,371.9275862,
"$211,898.3",$31.6,63.21,,"AFN 2,000",خریداری تیل پطرول به موتر کرولای نقره یی و تیل دیزل به جنراتور للندر 4 ,1-Mar-26,373.0770115,
"$211,922.1",$23.7,63.21,,"AFN 1,500",خریداری تیل دیزل به جنراتور للندر 4 ,1-Mar-26,374.2264368,
"$211,953.7",$31.6,63.21,,"AFN 2,000",خریداری تیل دیزل به جنراتور للندر 4,1-Mar-26,375.3758621,
"$211,969.2",$15.5,66,,"AFN 1,020",خریدرای گاز به للندر 4 ,2-Mar-26,375.3758621,
"$212,000.0",$30.8,64.85,,"AFN 2,000",پیش پرداخت برای شریف الله ولد فیض محمد کاریگر تعمیر للندر 4 بابت ماه حوت 1404,3-Mar-26,376.5252874,
"$212,007.7",$7.7,64.85,,AFN 500,پرداخت برای تداوی دست هارون ولد فیض محمد کاریگر تعمیر للندر 4,3-Mar-26,377.6747126,
"$212,053.9",$46.2,64.95,,"AFN 3,000",پرداخت ماش احمد فرید للندر بابت ماه دلو 1404,4-Mar-26,378.8241379,
"$212,284.8",$230.9,64.95,,"AFN 15,000",پرداخت برای گلبدین بابت سیم تابی تعمیر للندر 4 بدست قیام الدین ,4-Mar-26,379.9735632,
"$212,348.6",$63.7,64.95,,"AFN 4,138",پرداخت ماش هارون ولد فیض محمد بابت ماه حوت 1404,4-Mar-26,381.1229885,
"$218,193.6","$5,845.0",64.95,"$5,845.00",,پرداخت برای شرکت افغان پلانت بابت خریداری 35 تن سمنت ازبکی فی تن 167$ دالر امریکایی و اجرا آن برای سمنت فروش توسط چک نمبر 2369,4-Mar-26,,
"$218,238.2",$44.6,64.95,,"AFN 2,900",خریداری تیل پطرول برای موتری نقری به تعمیر للندر 4,5-Mar-26,382.2724138,
"$218,248.2",$10.0,64.95,,AFN 650,خریداری سرکلوشن به تعمیر للندر 4,5-Mar-26,383.4218391,
"$218,251.3",$3.1,64.95,,AFN 200,خریداری قیماق و مربا به تعمیر للندر 4,5-Mar-26,,
"$218,279.0",$27.7,64.95,,"AFN 1,800",خریداری تیل پطرول به ویبراتور ها و تیل دیزل به جنراتور تعمیر للندر 4,5-Mar-26,384.5712644,
"$218,283.6",$4.6,64.95,,AFN 300,خریداری پیچ بکسوانه همراه با کرایه انتقال به تعمیر للندر 4,5-Mar-26,385.7206897,
"$218,315.0",$31.4,63.7,,"AFN 2,000",برداشت احمد فرید للندر بابت ماه حوت 1404,8-Mar-26,386.8701149,
